 # psi,   q values
 -0.3989319E-03  0.1021430E+01
 -0.3904390E-03  0.1157048E+01
 -0.3819462E-03  0.1199974E+01
 -0.3734534E-03  0.1222508E+01
 -0.3649606E-03  0.1286938E+01
 -0.3564678E-03  0.1314374E+01
 -0.3479750E-03  0.1377684E+01
 -0.3394821E-03  0.1421377E+01
 -0.3309893E-03  0.1479849E+01
 -0.3224965E-03  0.1543982E+01
 -0.3140037E-03  0.1605484E+01
 -0.3055109E-03  0.1678733E+01
 -0.2970181E-03  0.1754366E+01
 -0.2885253E-03  0.1839685E+01
 -0.2800324E-03  0.1925885E+01
 -0.2715396E-03  0.2031255E+01
 -0.2630468E-03  0.2136654E+01
 -0.2545540E-03  0.2254765E+01
 -0.2460612E-03  0.2394987E+01
 -0.2375684E-03  0.2536860E+01
 -0.2290755E-03  0.2704933E+01
 -0.2205827E-03  0.2897778E+01
 -0.2120899E-03  0.3099239E+01
 -0.2035971E-03  0.3355512E+01
 -0.1951043E-03  0.3631518E+01
