 # LSFC polygon vetices
 # R[m],  Z[m]
  0.4132076E+00  0.2470630E-16
  0.4123002E+00  0.1606569E-01
  0.4096928E+00  0.3237502E-01
  0.4048682E+00  0.4900129E-01
  0.3975587E+00  0.6602610E-01
  0.3872840E+00  0.8343798E-01
  0.3732068E+00  0.1006105E+00
  0.3546215E+00  0.1160759E+00
  0.3315326E+00  0.1262250E+00
  0.3067317E+00  0.1246823E+00
  0.2855531E+00  0.1110041E+00
  0.2695309E+00  0.9279201E-01
  0.2580288E+00  0.7350375E-01
  0.2499654E+00  0.5450144E-01
  0.2446417E+00  0.3599138E-01
  0.2417172E+00  0.1786540E-01
  0.2408576E+00  0.3581078E-16
  0.2417172E+00 -0.1786540E-01
  0.2446417E+00 -0.3599138E-01
  0.2499654E+00 -0.5450144E-01
  0.2580288E+00 -0.7350375E-01
  0.2695309E+00 -0.9279201E-01
  0.2855531E+00 -0.1110041E+00
  0.3067317E+00 -0.1246823E+00
  0.3315326E+00 -0.1262250E+00
  0.3546215E+00 -0.1160759E+00
  0.3732068E+00 -0.1006105E+00
  0.3872840E+00 -0.8343798E-01
  0.3975587E+00 -0.6602610E-01
  0.4048682E+00 -0.4900129E-01
  0.4096928E+00 -0.3237502E-01
  0.4123002E+00 -0.1606569E-01
