Dark spectrum
Integration time [ms]: 100.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1401079U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts]

 178.08;   59.000;   59.000;    0.000
 178.43;   57.000;   57.000;    0.000
 178.77;  -45.000;  -45.000;    0.000
 179.12;   19.000;   19.000;    0.000
 179.46;   24.000;   24.000;    0.000
 179.81;   27.000;   27.000;    0.000
 180.15;  -43.000;  -43.000;    0.000
 180.49;  -27.000;  -27.000;    0.000
 180.84;   24.000;   24.000;    0.000
 181.18;  -11.000;  -11.000;    0.000
 181.53;   -6.000;   -6.000;    0.000
 181.87;   64.000;   64.000;    0.000
 182.22;  -31.000;  -31.000;    0.000
 182.56;    3.000;    3.000;    0.000
 182.90;  -27.000;  -27.000;    0.000
 183.25;   28.000;   28.000;    0.000
 183.59;  -56.000;  -56.000;    0.000
 183.94;  -22.000;  -22.000;    0.000
 184.28;   -4.000;   -4.000;    0.000
 184.63;  -86.000;  -86.000;    0.000
 184.97;  -20.000;  -20.000;    0.000
 185.32;  -13.000;  -13.000;    0.000
 185.66;   23.000;   23.000;    0.000
 186.00;   41.000;   41.000;    0.000
 186.35;   -3.000;   -3.000;    0.000
 186.69;   39.000;   39.000;    0.000
 187.04;  -36.000;  -36.000;    0.000
 187.38;   99.000;   99.000;    0.000
 187.72;   -5.000;   -5.000;    0.000
 188.07;    2.000;    2.000;    0.000
 188.41;  -46.000;  -46.000;    0.000
 188.76;    3.000;    3.000;    0.000
 189.10;   38.000;   38.000;    0.000
 189.45;   23.000;   23.000;    0.000
 189.79;    9.000;    9.000;    0.000
 190.13;   42.000;   42.000;    0.000
 190.48;  -28.000;  -28.000;    0.000
 190.82;  -66.000;  -66.000;    0.000
 191.17;    2.000;    2.000;    0.000
 191.51;  -36.000;  -36.000;    0.000
 191.85;  -11.000;  -11.000;    0.000
 192.20;    9.000;    9.000;    0.000
 192.54;  -25.000;  -25.000;    0.000
 192.89;  -24.000;  -24.000;    0.000
 193.23;   32.000;   32.000;    0.000
 193.58;   10.000;   10.000;    0.000
 193.92;   39.000;   39.000;    0.000
 194.26;  -21.000;  -21.000;    0.000
 194.61;  -28.000;  -28.000;    0.000
 194.95;   21.000;   21.000;    0.000
 195.30;  -31.000;  -31.000;    0.000
 195.64;    1.000;    1.000;    0.000
 195.98;   28.000;   28.000;    0.000
 196.33;  -17.000;  -17.000;    0.000
 196.67;    1.000;    1.000;    0.000
 197.02;  -46.000;  -46.000;    0.000
 197.36;  -89.000;  -89.000;    0.000
 197.70;  -33.000;  -33.000;    0.000
 198.05;   38.000;   38.000;    0.000
 198.39;  -60.000;  -60.000;    0.000
 198.74;  -43.000;  -43.000;    0.000
 199.08;  -45.000;  -45.000;    0.000
 199.42;  -14.000;  -14.000;    0.000
 199.77;   20.000;   20.000;    0.000
 200.11;  -18.000;  -18.000;    0.000
